NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCircElec
1,MEUNIER,Philippe,M.,LR,Les Républicains,6913
2,JONCOUR,Tiffany,Mme,RN,Rassemblement National,6913
3,PIOT,Michel,M.,EXG,Extrême gauche,6913
4,BIAUT,Patrick,M.,DVD,Divers droite,6913
5,PRANDT,Victor,M.,UG,Union de la gauche,6913
6,GIGAREL,Océane,Mme,REC,Reconquête !,6913
7,TANZILLI,Sarah,Mme,ENS,Ensemble ! (Majorité présidentielle),6913
8,BARTHÈS,Didier,M.,DVG,Divers gauche,6913
1,BOUMERTIT,Idir,M.,UG,Union de la gauche,6914
2,MAZZONE,David,M.,LR,Les Républicains,6914
3,MERMET,Cédric,M.,RN,Rassemblement National,6914
4,MINOUX,Olivier,M.,EXG,Extrême gauche,6914
5,ALMERAS,Ludovic,M.,ENS,Ensemble ! (Majorité présidentielle),6914
6,RIHA,Blandine,Mme,REC,Reconquête !,6914
1,GHILES,Philippe,M.,REC,Reconquête !,7001
2,POYARD,Sébastien,M.,UG,Union de la gauche,7001
3,CHRETIEN,Alain,M.,ENS,Ensemble ! (Majorité présidentielle),7001
4,VILLEDIEU,Antoine,M.,RN,Rassemblement National,7001
5,ZELFA,Mohamed-Salah,M.,DIV,Divers,7001
6,FISCHER,Cédric,M.,EXG,Extrême gauche,7001
1,BARASSI-ZAMOCHNIKOFF,Fabrice,M.,ENS,Ensemble ! (Majorité présidentielle),7002
2,HOULLEY,Eric,M.,UG,Union de la gauche,7002
3,APRO,Isabelle,Mme,EXG,Extrême gauche,7002
4,DEVILLERS,Christophe,M.,REC,Reconquête !,7002
5,SALMON,Emeric,M.,RN,Rassemblement National,7002
6,LABORIE,Loic,M.,LR,Les Républicains,7002
1,BELVILLE,Jean-Philippe,M.,LR,Les Républicains,7101
2,DIRX,Benjamin,M.,ENS,Ensemble ! (Majorité présidentielle),7101
3,ROY,Jean-Armand,M.,DSV,Droite souverainiste,7101
4,DREVET,Rachel,Mme,RN,Rassemblement National,7101
5,DELPEUCH,Jean-Luc,M.,UG,Union de la gauche,7101
6,SPRINGAUX,Christophe,M.,EXG,Extrême gauche,7101
1,ZEKPA,Raymond,M.,ENS,Ensemble ! (Majorité présidentielle),7102
2,DAMIEN,Olivier,M.,RN,Rassemblement National,7102
3,GAUTHERON,Sébastien,M.,UG,Union de la gauche,7102
4,BERTHELOT,Patrick,M.,EXG,Extrême gauche,7102
5,CORNELOUP,Josiane,Mme,LR,Les Républicains,7102
1,REBEYROTTE,Rémy,M.,ENS,Ensemble ! (Majorité présidentielle),7103
2,ROBERT,France,Mme,DSV,Droite souverainiste,7103
3,GRANADO,José Antonio,M.,DIV,Divers,7103
4,LUCOTTE,Julie,Mme,EXG,Extrême gauche,7103
5,BENINGER,Richard,M.,UG,Union de la gauche,7103
6,LANDRE,Charles,M.,DVD,Divers droite,7103
7,DUTREMBLE,Aurélien,M.,RN,Rassemblement National,7103
1,BELLEST,Véronique,Mme,DSV,Droite souverainiste,7104
2,COURATIER,Claude,M.,EXG,Extrême gauche,7104
3,UNTERMAIER,Cécile,Mme,UG,Union de la gauche,7104
4,MICHOUX,Eric,M.,UXD,Union de l'extrême droite,7104
5,VADOT,Anthony,M.,LR,Les Républicains,7104
1,DUFRAIGNE,Pascal,M.,EXG,Extrême gauche,7105
2,SANVERT,Arnaud,M.,RN,Rassemblement National,7105
3,PLATRET,Gilles,M.,DVD,Divers droite,7105
4,KOURICHE,Fatima,Mme,UG,Union de la gauche,7105
5,MARGUERITTE,Louis,M.,ENS,Ensemble ! (Majorité présidentielle),7105
6,CADIOT,Alain,M.,DVD,Divers droite,7105
1,DELPECH,Julie,Mme,ENS,Ensemble ! (Majorité présidentielle),7201
2,COULON,Clément,M.,LR,Les Républicains,7201
